petalwidth, type
0.2,Iris-setosa
0.2,Iris-setosa
0.2,Iris-setosa
0.2,Iris-setosa
0.2,Iris-setosa
0.4,Iris-setosa
0.3,Iris-setosa
0.2,Iris-setosa
0.2,Iris-setosa
0.1,Iris-setosa
0.2,Iris-setosa
0.2,Iris-setosa
0.1,Iris-setosa
0.1,Iris-setosa
0.2,Iris-setosa
0.4,Iris-setosa
0.4,Iris-setosa
0.3,Iris-setosa
0.3,Iris-setosa
0.3,Iris-setosa
0.2,Iris-setosa
0.4,Iris-setosa
0.2,Iris-setosa
0.5,Iris-setosa
0.2,Iris-setosa
0.2,Iris-setosa
0.4,Iris-setosa
0.2,Iris-setosa
0.2,Iris-setosa
0.2,Iris-setosa
0.2,Iris-setosa
0.4,Iris-setosa
0.1,Iris-setosa
0.2,Iris-setosa
0.1,Iris-setosa
0.2,Iris-setosa
0.2,Iris-setosa
0.1,Iris-setosa
0.2,Iris-setosa
0.2,Iris-setosa
0.3,Iris-setosa
0.3,Iris-setosa
0.2,Iris-setosa
0.6,Iris-setosa
0.4,Iris-setosa
0.3,Iris-setosa
0.2,Iris-setosa
0.2,Iris-setosa
0.2,Iris-setosa
0.2,Iris-setosa
1.4,Iris-versicolor
1.5,Iris-versicolor
1.5,Iris-versicolor
1.3,Iris-versicolor
1.5,Iris-versicolor
1.3,Iris-versicolor
1.6,Iris-versicolor
1.0,Iris-versicolor
1.3,Iris-versicolor
1.4,Iris-versicolor
1.0,Iris-versicolor
1.5,Iris-versicolor
1.0,Iris-versicolor
1.4,Iris-versicolor
1.3,Iris-versicolor
1.4,Iris-versicolor
1.5,Iris-versicolor
1.0,Iris-versicolor
1.5,Iris-versicolor
1.1,Iris-versicolor
1.8,Iris-versicolor
1.3,Iris-versicolor
1.5,Iris-versicolor
1.2,Iris-versicolor
1.3,Iris-versicolor
1.4,Iris-versicolor
1.4,Iris-versicolor
1.7,Iris-versicolor
1.5,Iris-versicolor
1.0,Iris-versicolor
1.1,Iris-versicolor
1.0,Iris-versicolor
1.2,Iris-versicolor
1.6,Iris-versicolor
1.5,Iris-versicolor
1.6,Iris-versicolor
1.5,Iris-versicolor
1.3,Iris-versicolor
1.3,Iris-versicolor
1.3,Iris-versicolor
1.2,Iris-versicolor
1.4,Iris-versicolor
1.2,Iris-versicolor
1.0,Iris-versicolor
1.3,Iris-versicolor
1.2,Iris-versicolor
1.3,Iris-versicolor
1.3,Iris-versicolor
1.1,Iris-versicolor
1.3,Iris-versicolor
2.5,Iris-virginica
1.9,Iris-virginica
2.1,Iris-virginica
1.8,Iris-virginica
2.2,Iris-virginica
2.1,Iris-virginica
1.7,Iris-virginica
1.8,Iris-virginica
1.8,Iris-virginica
2.5,Iris-virginica
2.0,Iris-virginica
1.9,Iris-virginica
2.1,Iris-virginica
2.0,Iris-virginica
2.4,Iris-virginica
2.3,Iris-virginica
1.8,Iris-virginica
2.2,Iris-virginica
2.3,Iris-virginica
1.5,Iris-virginica
2.3,Iris-virginica
2.0,Iris-virginica
2.0,Iris-virginica
1.8,Iris-virginica
2.1,Iris-virginica
1.8,Iris-virginica
1.8,Iris-virginica
1.8,Iris-virginica
2.1,Iris-virginica
1.6,Iris-virginica
1.9,Iris-virginica
2.0,Iris-virginica
2.2,Iris-virginica
1.5,Iris-virginica
1.4,Iris-virginica
2.3,Iris-virginica
2.4,Iris-virginica
1.8,Iris-virginica
1.8,Iris-virginica
2.1,Iris-virginica
2.4,Iris-virginica
2.3,Iris-virginica
1.9,Iris-virginica
2.3,Iris-virginica
2.5,Iris-virginica
2.3,Iris-virginica
1.9,Iris-virginica
2.0,Iris-virginica
2.3,Iris-virginica
